"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","75-84 anos","≥ 85 anos","Desconhecido"
"Jan-01","1","1","0","0","3","2","20","38","68","130","201","0"
"Jan-02","1","0","1","3","1","7","21","26","60","135","172","0"
"Jan-03","0","0","0","1","2","1","16","55","52","125","210","0"
"Jan-04","0","0","0","0","2","7","21","37","67","142","208","0"
"Jan-05","0","0","0","0","2","1","18","33","78","156","233","0"
"Jan-06","1","0","0","3","1","3","21","42","78","159","252","0"
"Jan-07","1","0","0","2","3","6","18","37","70","148","262","1"
"Jan-08","0","0","1","0","1","6","30","39","80","160","249","0"
"Jan-09","0","0","0","0","1","2","15","34","80","150","267","2"
"Jan-10","0","1","0","0","2","6","17","41","94","162","284","0"
"Jan-11","1","1","0","0","1","2","10","57","100","194","300","0"
"Jan-12","1","0","0","3","2","6","19","45","74","204","308","0"
"Jan-13","0","1","0","0","2","3","16","47","86","170","290","0"
"Jan-14","2","1","0","1","7","8","26","47","87","178","312","0"
"Jan-15","2","0","0","0","1","8","25","51","76","202","324","0"
"Jan-16","2","0","0","4","5","6","10","44","85","195","312","0"
"Jan-17","1","0","0","1","2","9","9","47","77","195","312","0"
"Jan-18","0","0","0","1","1","2","27","37","91","200","311","0"
"Jan-19","1","0","1","0","2","6","22","58","81","191","342","0"
"Jan-20","0","0","0","0","1","7","21","53","94","234","338","0"
"Jan-21","1","1","0","0","4","7","20","36","84","199","345","1"
"Jan-22","0","1","0","2","1","11","17","46","102","226","337","0"
"Jan-23","0","0","0","3","1","11","15","29","95","229","355","0"
"Jan-24","0","0","0","1","0","3","18","46","99","213","364","0"
"Jan-25","1","1","0","3","3","4","17","46","90","213","336","0"
"Jan-26","0","0","0","0","2","5","16","36","108","227","327","0"
"Jan-27","1","0","0","0","2","8","17","30","96","195","370","0"
"Jan-28","0","0","1","3","2","6","23","47","91","193","317","1"
"Jan-29","0","0","0","1","2","5","12","32","97","187","298","0"
